 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M2446|Clyde Park Project|||https://www.gem.wiki/Clyde_Park_coal_project||Cancelled||||Clyde Park Coal|Clyde Park Coal|TerraCom (64.4%), Tiaro Coal (29.2%)|Australia|Capacity|1.8||Surface|Open Pit|133|50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|728|-||||Pentland||Queensland|Australia|36|Australia & NZ|-20.155867|144.86907|Exact||||0.8|2.2|0.0|3.21
M0028|Collinsville Coal Mine|McNaughton, Wollombi||https://www.gem.wiki/Collinsville_Coal_mine||Operating||||Newlands Collinsville Abbot Point (NCA)|Glencore|Glencore|Switzerland|Production|3.2||Surface|Open Pit||60|Estimate||Bituminous|Thermal & Met|75|25|55|105|-|-|495|23|1919|||Collinsville||Queensland|Australia|36|Australia & NZ|-20.5567302|147.8148229|Exact||||3.5|16.8|0.3|7.68
M2480|Columboola Project|||https://www.gem.wiki/Columboola_coal_project||Cancelled||||Metro (49%), SinoCoal Resources (51%)|China Coal|State-owned Assets Supervision and Administration Commission of the State Council|China|Capacity|5||Underground|||500|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|1217|-|2023|||Miles||Queensland|Australia|36|Australia & NZ|-26.744057|150.327096|Exact||||4.5|36.0|0.7|8.93
M2349|Comet Ridge Coal Mine|||https://www.gem.wiki/Comet_ridge_coking_coal_project||Cancelled||||Springsure Creek Coal|Bandanna Energy|Bandanna Energy|Australia|Capacity|0.4||Surface|Open Pit||60|Estimate||Bituminous|Thermal & Met|-|-|-|-|-|-|57|-|2025|||Emerald||Queensland|Australia|36|Australia & NZ|-24.008602|148.372046|Exact||||3.5|2.1|0.0|0.96
M0029|Commodore Coal Mine|Milmerran||https://www.gem.wiki/Commodore_mine||Operating||||Downer EDI|InterGen NV|InterGen NV|Netherlands|Production|3.6||Surface|Open Pit||60|Estimate||Bituminous|Thermal|177|-|-|-|-|-|-|49|2002|||Millmerran||Queensland|Australia|36|Australia & NZ|-27.9343501|151.2554422|Exact||||3.5|18.9|0.4|8.64
M1531|Cook Colliery|Cook North, Leichardt||https://www.gem.wiki/Cook_Colliery||Operating||||Mastermyne Group|QCoal|QCoal|Australia|Production|0.45||Underground|Longwall||500|Exact||Bituminous|Met|210|-|-|-|-|-|-|467|1970||Gloucester|Blackwater||Queensland|Australia|36|Australia & NZ|-23.7159074|148.8893157|Exact||||13.8|9.9|0.2|1.18
M2347|Coppabella Coal Mine|Johnson Pit||https://www.gem.wiki/Coppabella_coal_mine||Operating||||Coppabella and Moorvale Joint Venture (CMJV)|Peabody Energy (73.3%), CITIC Australia Coppabella (14.0%), Marubeni Corporation (7.0%), KC Resources (3.7%), NS Coal (2.0%)|Peabody Energy (73.3%), CITIC Australia Coppabella (14.0%), Marubeni Corporation (7.0%), KC Resources (3.7%), NS Coal (2.0%)|USA, China, Japan, Singapore|Production|1.91|2.1|Surface|Open Pit||60|Estimate||Bituminous|Met|22|-|-|-|-|-|-|12|1998|||Nebo||Queensland|Australia|36|Australia & NZ|-21.844554|148.427187|Exact||||3.5|10.0|0.2|5.00
M0030|Cows Coal Mine|||https://www.gem.wiki/Cows_coal_mine||Operating||||QCoal|QCoal|QCoal|Australia|Production|1||Surface|Open Pit||60|Estimate|20|Bituminous|Thermal & Met|-|-|-|-|-|-|-|-||||Colinsville||Queensland|Australia|36|Australia & NZ|-20.63668673|147.85009|Exact||||3.5|5.3|0.1|2.40
M1532|Cullenswood Coal Mine|Cullenswood No.5||https://www.gem.wiki/Cullenswood_coal_mine||Operating||||Cornwall Coal Company|Cement Australia|Cement Australia|Australia|Production|0.05||Surface|Open Pit||60|Estimate||Bituminous|Thermal|1|-|-|-|-|-|-|16|2002|||Fingal||Tasmania|Australia|36|Australia & NZ|-41.6125381|148.1254475|Exact||||3.5|0.3|0.0|0.12
M0031|Curragh Coal Mine|||https://www.gem.wiki/Curragh_Mine||Shelved|Announced|Expansion||Coronado Coal|Coronado Global Resources|Coronado Global|Australia|Capacity|3||Surface|Open Pit|126|60|Estimate||Bituminous|Thermal & Met|-|-|-|-|-|-|-|-|2023|21|Bowen|Blackwater||Queensland|Australia|36|Australia & NZ|-23.493219|148.842723|Exact|Terminal (Export)|Port of Gladstone|https://www.gem.wiki/Port_of_Gladstone|3.5|15.8|0.3|7.20
M0031|Curragh Coal Mine|||https://www.gem.wiki/Curragh_Mine||Operating||||Coronado Coal|Coronado Global Resources|Coronado Global|Australia|Production|8.4||Surface|Open Pit|126|60|Estimate||Bituminous|Thermal & Met|239|209|30|-|-|-|-|28|1983||Bowen|Blackwater||Queensland|Australia|36|Australia & NZ|-23.493219|148.842723|Exact|Coal Plant|Stanwell Power Station|https://www.gem.wiki/Stanwell_power_station|3.5|44.1|0.9|20.16
M0032|Daunia Coal Mine|||https://www.gem.wiki/Daunia_coal_project||Operating||||Queensland Coal, BHP Mitsui Coal (BMC)|Stanmore Resources|Stanmore Resources|Australia|Production|3.8||Surface|Open Pit||60|Estimate||Bituminous|Met|93|68|25|98|-|-|144|24|2013||Bowen|Coppabella||Queensland|Australia|36|Australia & NZ|-22.06065188|148.2933768|Exact||||3.5|20.0|0.4|9.97
M0033|Dawson Complex|Dawson West||https://www.gem.wiki/Dawson_mine||Cancelled|Announced|New||Civil & Mining Resources|Civil & Mining Resources|ASF Group|Australia|Capacity|1.6||Surface|Open Pit|143|60|Estimate||Bituminous|Thermal & Met|-|-|-|-|-|-|852|-||||Theodore||Queensland|Australia|36|Australia & NZ|-24.889212|149.682066|Exact||||3.5|8.4|0.2|3.84
M0033|Dawson Complex|Dawson North, Dawson South, Dawson Central, Moura||https://www.gem.wiki/Dawson_mine||Operating||||Anglo American|Anglo American (51%), Mitsui Holdings (49%)|Anglo American (51%), Mitsui Holdings (49%)|UK, USA|Production|2.4||Surface|Open Pit||60|Estimate|1300|Bituminous|Thermal & Met|137|70|93|302|-|-|1213|57|1961||Bowen|Moura||Queensland|Australia|36|Australia & NZ|-24.6168211|150.0504833|Exact||||3.5|12.6|0.3|5.76
M0034|Dendrobium Coal Mine|||https://www.gem.wiki/Dendrobium_mine||Operating||||Illawarra Coal|South32|South32|Australia|Production|2.7||Underground|Longwall||350|Exact||Bituminous|Met|13|6|7|47|237|284|428|5|2002|10|Southern|Wollongong||New South Wales|Australia|36|Australia & NZ|-34.419776|150.826135|Exact|Steel Plant|GFG Liberty Steel Australia Whyalla Steel Plant|https://www.gem.wiki/GFG_Liberty_Steel_Australia_Whyalla_steel_plant|11.8|51.0|1.0|7.08
M0034|Dendrobium Extension Project|||https://www.gem.wiki/Dendrobium_mine||Proposed|Pre-Permit|Extension||Illawarra Coal|South32|South32|Australia|Capacity|*||Underground|Longwall||350|Exact||Bituminous|Met|-|-|-|-|-|-|-|-|2026|22|Southern|Wollongong||New South Wales|Australia|36|Australia & NZ|-34.419776|150.826135|Exact|Steel Plant|GFG Liberty Steel Australia Whyalla Steel Plant|https://www.gem.wiki/GFG_Liberty_Steel_Australia_Whyalla_steel_plant|11.8|-|-|-
M0035|Drake Coal Mine|||https://www.gem.wiki/Drake_coal_mine||Operating||||QCoal|QCoal|QCoal|Australia|Production|4.9||Surface|Open Pit||60|Estimate||Bituminous|Thermal & Met|200|-|-|-|-|-|-|41|2014||Bowen|Collinsville||Queensland|Australia|36|Australia & NZ|-20.705189|147.812727|Exact|Terminal (Export)|Abbot Point Coal Terminal|https://www.gem.wiki/Abbot_Point_Coal_Terminal|3.5|25.7|0.5|11.76
M0036|Dysart East Coal Project|||https://www.gem.wiki/Dysart_East_coal_project||Proposed|Permitted|New||Bengal Coal|Bengal Energy|Bengal Energy|Canada|Capacity|1.9||Underground|||500|Estimate|200|Bituminous|Met|32|-|-|-|-|-|96|17|2024|19||Dysart||Queensland|Australia|36|Australia & NZ|-22.550335|148.414404|Exact||||13.8|42.0|0.8|4.98
M0037|Eagle Downs Coal Project|Peak Downs East||https://www.gem.wiki/Eagle_Downs_Coal_Project||Shelved|Permitted|Expansion|Stage 2|Aquila, South33|China BaoWu Steel Group (50%), South32 (50%)|China BaoWu Steel Group (50%), South32 (50%)|China, Australia|Capacity|3.5||Underground|Longwall|45|500|Estimate||Bituminous|Met|-|-|-|-|-|-|-|-|TBD|50|Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-22.189318|148.204249|Exact|Terminal (Export)|Wiggins Island Coal Terminal|https://www.gem.wiki/Wiggins_Island_Coal_Terminal|13.8|77.3|1.5|9.18
M0037|Eagle Downs Coal Project|Peak Downs East||https://www.gem.wiki/Eagle_Downs_Coal_Project||Shelved|Permitted|New|Stage 1|Aquila, South32|China BaoWu Steel Group (50%), South32 (50%)|China BaoWu Steel Group (50%), South32 (50%)|China, Australia|Capacity|4.5||Underground|Longwall|45|500|Estimate|500|Bituminous|Met|254|-|-|-|-|-|959|56|2025|50|Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-22.189318|148.204249|Exact|Terminal (Export)|Wiggins Island Coal Terminal|https://www.gem.wiki/Wiggins_Island_Coal_Terminal|13.8|99.4|2.0|11.80
M2479|Elimatta Coal Mine|||https://www.gem.wiki/Elimatta_coal_mine||Shelved|Pre-Permit|New||Taroom Coal|New Hope Group|New Hope Group|China|Capacity|5||Surface|Open Pit|446|50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|259|-|2025||Bowen|Taroom||Queensland|Australia|36|Australia & NZ|-26.021614|149.613529|Exact|Terminal (Export)|Wiggins Island Coal Terminal|https://www.gem.wiki/Wiggins_Island_Coal_Terminal|0.8|6.0|0.1|8.93
M0038|Ensham Coal Mine|Yongala||https://www.gem.wiki/Ensham_mine||Operating||||Ensham Resources|Idemitsu Australia Resources - Idemitsu Kosan|Idemitsu Kosan|Japan|Production|5.3||Underground & Surface|Mixed|27.37|200|Exact|331|Subbituminous|Thermal|724|-|-|-|-|-|1477|137|1993|8|Bowen|Emerald||Queensland|Australia|36|Australia & NZ|-23.454464|148.497455|Exact||||2.5|21.2|0.4|9.46
M0039|Ewington Coal Mine|Collie Mine, Griffin Mine||https://www.gem.wiki/Ewington_mine||Mothballed||||Griffin Coal|Lanco Infratech Limited|Lanco Infratech Limited|India|Production|2||Surface|Strip||60|Estimate||Bituminous|Thermal & Met|61|-|-|-|-|-|-|30|1996|31|Collie|Collie||Western Australia|Australia|36|Australia & NZ|-33.3624|116.25|Exact||||3.5|10.5|0.2|4.80
M0040|Foxleigh Coal Mine|Foxleigh East||https://www.gem.wiki/Foxleigh_coal_mine||Operating||||Middlemount South Limited|QMetco - Taurus Resources (70%), Posco Australia (20%), Nippon Steel Australia (10%)|QMetco - Taurus Resources (70%), Posco Australia (20%), Nippon Steel Australia (10%)|Canada, South Korea, Japan|Production|4.08||Surface|Open Pit||60|Estimate||Bituminous|Met|70|44|25|110|-|-|350|17|1999||Bowen|Middlemount||Queensland|Australia|36|Australia & NZ|-22.997778|148.803889|Exact||||3.5|21.4|0.4|10.70
M0041|Galilee Coal Mine|Galilee Coal Project, China First Project||https://www.gem.wiki/Galilee_Coal_Project||Proposed|Pre-Permit|New||Waratah Coal|Waratah Coal|Mineralogy|Australia|Capacity|40||Underground & Surface|Mixed|120|90|Estimate|2300|Subbituminous|Thermal|1100|-|-|-|-|-|7100|28|2024|30|Galilee|Jericho||Queensland|Australia|36|Australia & NZ|-23.498536|145.94229|Approximate|Terminal (Export)|Abbot Point Coal Terminal|https://www.gem.wiki/Abbot_Point_Coal_Terminal|1.3|83.2|1.7|71.41
M3019|Gemini Coal Mine|||https://www.gem.wiki/Gemini_Coal_Mine||Proposed|Pre-Permit|New||Magnetic South|Magnetic South|Magnetic South|Australia|Capacity|1.8||Surface|Open Pit||60|Estimate||Bituminous|Met|-|-|-|-|-|-|-|-|TBD|25|Bowen|Dingo||Queensland|Australia|36|Australia & NZ|-23.625986|149.257487|Approximate||||3.5|9.5|0.2|4.72
M0042|Glendell Coal Mine|Glendell Continued Operations Project, Mt Owen Complex||https://www.gem.wiki/Glendell_coal_mine||Proposed|Pre-Permit|Extension||Mt Owen, LLC|Glencore|Glencore|Switzerland|Capacity|*||Surface|Open Pit|6.6|60|Estimate|690|Bituminous|Thermal & Met|6|6|-|-|-|-|-|-|2022|24|Hunter|Hebden||New South Wales|Australia|36|Australia & NZ|-32.45121527|151.0783194|Exact||||3.5|-|-|-
M0042|Glendell Coal Mine|Mt Owen Complex||https://www.gem.wiki/Glendell_coal_mine||Operating||||Mt Owen, LLC|Glencore|Glencore|Switzerland|Production|4.5||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|6|6|0|55|-|-|195|1|||Hunter|Hebden||New South Wales|Australia|36|Australia & NZ|-32.45121527|151.0783194|Exact||||0.8|5.4|0.1|8.03
M0043|Goonyella-Riverside Coal Mine|Goonyella-Riverside, Cleanskin, Broadmeadow, Eureka, Redhill, Isaac, Riverside||https://www.gem.wiki/Goonyella_Riverside_mine||Operating||||Queensland Coal, BHP Mitsubishi Alliance (BMA)|Queensland Coal, BHP Mitsubishi Alliance (BMA)|BHP (50%), Mitsubishi Corporation (50%)|Australia|Production|18.8||Surface|Open Pit||60|Estimate|591|Bituminous|Met|532|513|19|766|-|-|798|28|1989||Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-21.792321|147.962045|Exact|Terminal (Export)|Hay Point Coal Terminal|https://www.gem.wiki/Hay_Point_Coal_Terminal|3.5|98.7|2.0|49.31
M3020|Gorman North Coal Project|||https://www.gem.wiki/Gorman_North_Coal_Project||Proposed|Exploration|New||Whitehaven|Whitehaven|Whitehaven|Australia|Capacity|*||Surface|Open Pit|37|50|Estimate||Subbituminous|Thermal|-|-|-|-|-|-|-|-|TBD|||Narrabri||New South Wales|Australia|36|Australia & NZ|-30.466394|149.83104|Exact||||0.8|-|-|-
M0044|Gregory Crinum Coal Mines|Gregory, Crinum||https://www.gem.wiki/Gregory_Crinum_mine||Operating||||Sojitz Corporation|Sojitz|Sojitz Corporation (96%), KORES (4%)|Japan|Capacity|1||Underground & Surface|Mixed||85|Exact||Bituminous|Met|27|-|-|-|-|-|182|27|1979|||Emerald||Queensland|Australia|36|Australia & NZ|-23.1491384|148.3875874|Exact||||4.7|7.5|0.2|2.62
M0045|Grosvenor Coal Mine|||https://www.gem.wiki/Grosvenor_coal_project||Operating||||Anglo American|Anglo American (88%), Nippon Steel (5%), Mitsui & Co. Ltd (4.75%), Nippon Steel Trading Corporation (1.15%), Shinsho Corporation (0.5%), JFE Mineral Co. Ltd (0.5%)|Anglo American|UK|Production|0.07||Underground|Longwall||500|Estimate|800|Bituminous|Met|124|31|93|-|-|-|199|1739|2016|||Moranbah||Queensland|Australia|36|Australia & NZ|-21.871331|147.956742|Exact||||13.8|1.6|0.0|0.19
M2477|Grosvenor West Coal Mine|||https://www.gem.wiki/Grosvenor_West_coal_project||Shelved|Pre-Permit|New||Carabella Resources|Qinghai Kingho Group|Qinghai Kingho Group|China|Capacity|5||Underground|Longwall||500|Estimate||Bituminous|Met|60|-|-|-|-|-|146|12|2025|||Moranbah||Queensland|Australia|36|Australia & NZ|-21.928195|147.957528|Exact||||13.8|110.4|2.2|13.11
M0046|Hail Creek Coal Mine|||https://www.gem.wiki/Hail_Creek_coal_mine||Operating||||Glencore|Glencore (82%), NSSMC (8%), Marubeni (7%), Sumitomo (3%)|Glencore (82%), NSSMC (8%), Marubeni (7%), Sumitomo (3%)|Switzerland, Japan|Production|9.4||Surface|Open Pit|210|60|Estimate|436|Bituminous|Thermal & Met|195|120|75|720|-|-|1620|21|2003|19|Bowen|Glenden||Queensland|Australia|36|Australia & NZ|-21.484811|148.37|Exact|Terminal (Export)|Dalrymple Bay Coal Terminal|https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal|3.5|49.4|1.0|22.56
M0047|Hillalong Coal Mine|||https://www.gem.wiki/Hillalong_coal_mine||Proposed|Exploration|New||Bowen Coking Coal|Shandong Energy Group|Shandong Energy|China|Capacity|4.2||Underground & Surface|Mixed||160|Exact|436|Bituminous|Thermal & Met|-|-|-|-|-|-|43|-|2023||Bowen|Glenden||Queensland|Australia|36|Australia & NZ|-21.416653|148.31|Exact||||7.4|49.7|1.0|10.08
M0048|Hume Coal Mine|Hume Coal Project||https://www.gem.wiki/Hume_coal_project||Cancelled||||Hume Coal|POSCO|POSCO|South Korea|Capacity|3||Underground||5|180|Exact|300|Bituminous|Thermal & Met|-|-|-|-|-|-|115|-|2023||Southern|Berrima||New South Wales|Australia|36|Australia & NZ|-34.54081|150.284465|Exact||||8|38.4|0.8|7.20
M3021|Hunter Valley Continuation Project|||https://www.gem.wiki/Hunter_Valley_Continuation_Project||Proposed|Pre-Permit|Extension||Yancoal|Yanzhou Coal Mining Company|Yancoal|China, Switzerland|Capacity|*||Surface|Open Pit|76.16|60|Estimate||Bituminous|Thermal & Met|-|-|-|-|-|-|-|-|TBD||Hunter|Lemington||New South Wales|Australia|36|Australia & NZ|-32.5245107|150.9819012|Exact|Terminal (Export)|Port Waratah Coal Services|https://www.gem.wiki/Port_Waratah_Coal_Services|3.5|-|-|-
M0049|Hunter Valley North Coal Mine|Hunter Valley Operations, West Pit, Carrington, North Pit||https://www.gem.wiki/Hunter_Valley_North_coal_mine||Operating||||Yancoal|Yanzhou Coal Mining Company|Yancoal|China, Switzerland|Production|6.1||Surface|Open Pit||60|Estimate|1200|Bituminous|Thermal & Met|773|440|333|810|-|-|4510|127|1952|17|Hunter|Lemington||New South Wales|Australia|36|Australia & NZ|-32.4657844|150.9734981|Exact|Terminal (Export)|Port Waratah Coal Services|https://www.gem.wiki/Port_Waratah_Coal_Services|3.5|32.0|0.6|14.64
M0050|Hunter Valley South Coal Mine|Hunter Valley Operations, Cheshunt, Lemington, Riverview||https://www.gem.wiki/Hunter_Valley_South_coal_mine||Operating||||Yancoal|Yanzhou Coal Mining Company|Yancoal|China, Switzerland|Production|6.1||Surface|Open Pit||60|Estimate|1200|Bituminous|Thermal & Met|-|-|-|-|-|-|-|-|1971|18|Hunter|Lemington||New South Wales|Australia|36|Australia & NZ|-32.5245107|150.9819012|Exact|Terminal (Export)|Port Waratah Coal Services|https://www.gem.wiki/Port_Waratah_Coal_Services|3.5|32.0|0.6|14.64
M0051|Hutton Coal Mine|||https://www.gem.wiki/Hutton_coking_coal_project||Shelved|Exploration|Expansion|Stage 1|Valiant Resources|Valiant Resources|Valiant Resources|Australia|Capacity|24||Underground||1469|500|Exact||Bituminous|Met|-|-|-|-|-|-|5350|-|TBD||Bowen|Injune||Queensland|Australia|36|Australia & NZ|-25.951645|148.961201|Exact|Terminal (Export)|Wiggins Island Coal Terminal|https://www.gem.wiki/Wiggins_Island_Coal_Terminal|13.8|529.9|10.6|62.94
M0051|Hutton Coal Mine|||https://www.gem.wiki/Hutton_coking_coal_project||Shelved|Exploration|New|Stage 2|Valiant Resources|Valiant Resources|Valiant Resources|Australia|Capacity|24||Underground||1469|500|Exact||Bituminous|Met|-|-|-|-|-|-|-|-|TBD||Bowen|Injune||Queensland|Australia|36|Australia & NZ|-25.951645|148.961201|Exact|Terminal (Export)|Wiggins Island Coal Terminal|https://www.gem.wiki/Wiggins_Island_Coal_Terminal|13.8|529.9|10.6|62.94
M0052|Ironbark No. 1 Coal Mine|Ellensfield||https://www.gem.wiki/Ironbark_No._1_coal_mine||Shelved|Permitted|New||Fitzroy Australia Reosurces|Fitzroy Australia Resources (60%), Nebo Central Coal (40%)|Riverstone, AMCI, Nebo|Australia|Capacity|2.7||Underground|Longwall|100|400|Exact|350|Bituminous|Thermal & Met|-|-|-|61|-|-|359|-|2033|25|Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-21.801604|148.223014|Exact|Terminal (Export)|||12.5|54.0|1.1|6.48
M0053|Isaac Downs Coal Mine|||https://www.gem.wiki/Isaac_Downs_coal_mine||Proposed|Construction|New||ESPA Pacific|Stanmore Resources|Stanmore Resources|Australia|Capacity|4||Surface|Open Pit||60|Estimate|300|Bituminous|Met|26|22|4|25|-|-|36|6|TBD||Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-21.97936646|148.1290409|Exact||||3.5|21.0|0.4|10.49
M0054|Isaac Plains East Coal Mine|||https://www.gem.wiki/Integrated_Isaac_Plains_Project||Operating||||Stanmore Coal|Golden Energy Mines - Dian Swastatika Sentosa|Sinar Mas Tunggal|Indonesia|Production|2.9||Surface|Open Pit||60|Estimate||Bituminous|Met|12|32|19|72|-|72|156|4|||Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-21.9718375|148.1132931|Exact||||3.5|15.2|0.3|7.61
M3022|Issac Plains South|||https://www.gem.wiki/Integrated_Isaac_Plains_Project||Proposed|Exploration|Expansion||Stanmore Resources|Stanmore Resources|Stanmore Resources|Australia|Capacity|*||Surface|Open Pit||60|Estimate||Bituminous|Met|-|-|-|-|-|-|52|-|TBD||Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-22.00118|148.151384|Exact||||3.5|-|-|-
M3023|Issac Plains Underground|||https://www.gem.wiki/Integrated_Isaac_Plains_Project||Proposed|Exploration|New||Stanmore Resources|Stanmore Resources|Stanmore Resources|Australia|Capacity|*||Underground|||500|Estimate||Bituminous|Thermal & Met|20|-|-|-|-|-|-|-|TBD||Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-21.949387|148.144479|Approximate||||13.8|-|-|-
M2350|Issac River Coal Mine|||https://www.gem.wiki/Issac_River_Coal_Mine||Proposed|Permitted|New||Bowen Coking Coal|Bowen Coking Coal|Bowen Coking Coal|Australia|Capacity|0.5||Surface|Open Pit||100|Exact||Bituminous|Thermal & Met|-|-|-|6|3|8|9|-|TBD|5|Bowen|Moranbah||Queensland|Australia|36|Australia & NZ|-21.920288|148.364672|Exact||||5.3|4.0|0.1|1.20
M0055|Jax Coal Mine|||https://www.gem.wiki/Jax_coal_mine||Operating||||Jax Coal Pty Ltd|QCoal|QCoal|Australia|Production|1.16||Surface|Open Pit||60|Estimate|20|Bituminous|Thermal & Met|36|-|-|-|-|-|-|31|2012||Bowen|Collinsville||Queensland|Australia|36|Australia & NZ|-20.713736|147.860166|Exact||||3.5|6.1|0.1|2.78
M1784|Jeebropilly Mine|West Moreton, Jeebropilly North, Jeebropilly West, 7 Mile, Smithfield, Thagoona||https://www.gem.wiki/Jeebropilly_Mine||Closed||||New Hope Group|New Hope Group|New Hope Group|China|Production|0.2||Surface|Open Pit||50|Estimate||Subbituminous|Thermal|0|-|-|-|-|-|-|-|1982||Moreton|Amberley||Queensland|Australia|36|Australia & NZ|-27.6230172|152.6593549|Exact||||0.8|0.2|0.0|0.36
M0056|Jellinbah Coal Mine|Jellinbah Central North, Mackenzie North||https://www.gem.wiki/Jellinbah_coal_mine||Proposed|Pre-Permit|Expansion||Jellinbah Group|Jellinbah (70%), Marubeni Coal (15%), Sojitz (15%)|Jellinbah (70%), Marubeni (15%), Sojitz (15%)|Australia, Japan, Japan|Capacity|1||Surface|Open Pit||30|Exact||Bituminous|Met|-|-|-|-|-|-|-|-|TBD||Bowen|Bluff||Queensland|Australia|36|Australia & NZ|-23.406874|148.950644|Exact|Terminal (Export)|Port of Gladstone|https://www.gem.wiki/Port_of_Gladstone|1.9|2.9|0.1|2.62
M0056|Jellinbah Coal Mine|Jellinbah East||https://www.gem.wiki/Jellinbah_coal_mine||Operating||||Jellinbah Group|Jellinbah (70%), Marubeni Coal (15%), Sojitz (15%)|Jellinbah (70%), Marubeni (15%), Sojitz (15%)|Australia, Japan, Japan|Production|5.1||Surface|Open Pit||30|Exact||Bituminous|Met|-|-|-|-|-|-|196|-|1989||Bowen|Bluff||Queensland|Australia|36|Australia & NZ|-23.406874|148.950644|Exact|Terminal (Export)|Dalrymple Bay Coal Terminal|https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal|1.9|14.5|0.3|13.38
M0057|Karin Coal Mine|Karin Basin||https://www.gem.wiki/Karin_coal_project||Proposed|Exploration|New||Vitrinite|Vitrinite (50%), Itochu (50%)|Vitrinite (50%), Itochu (50%)|Australia, Japan|Capacity|1.7||Underground & Surface|Mixed||115|Exact|350|Bituminous|Met|-|-|-|-|-|-|123|-|2020||Bowen|Clermont||Queensland|Australia|36|Australia & NZ|-23.058371|147.581142|Exact|Terminal (Export)|Hay Point Coal Terminal|https://www.gem.wiki/Hay_Point_Coal_Terminal|5.7|15.5|0.3|4.46
M0058|Kestrel Coal Mine|Gordonstone, Kestrel West, Ti Tree||https://www.gem.wiki/Kestrel_mine||Operating||||Kestrel Coal Resources|Kestrel Coal Resources (80%), Mitsui Coal Australia (20%)|EMR Capital (45.4%), Adaro Energy (34.6%), Mitsui and Company (20%)|Australia, Indonesia, Japan|Production|5.67||Underground|Longwall||250|Exact|375|Bituminous|Met|190|-|-|-|-|-|431|34|1992|11|Bowen|Emerald||Queensland|Australia|36|Australia & NZ|-23.236333|148.3583273|Exact|Terminal (Export)|Port of Gladstone|https://www.gem.wiki/Port_of_Gladstone|9.8|88.9|1.8|14.87
M2493|Kevin's Corner Coal Mine|||https://www.gem.wiki/Kevin%27s_Corner_Coal_Project||Shelved|Pre-Permit|New||Hancock Galilee|GVK Power|GVK Group|India|Capacity|30||Underground & Surface|Mixed|80|50|Estimate||Subbituminous|Thermal|473|-|-|-|-|-|4200|16||||Emerald||Queensland|Australia|36|Australia & NZ|-23.085191|146.427147|Exact||||0.8|38.4|0.8|53.55
M1781|Kimbolton Coal Mine|Hamilton||https://www.gem.wiki/Kimbolton_Coal_Mine||Closed||||Cornwall Coal Company|Cement Australia|Cement Australia|Australia|Production|0.4||Surface|Open Pit||50|Estimate|70|Subbituminous|Thermal|1|-|-|-|-|-|-|2|1999||Bowen|Hamilton||Tasmania|Australia|36|Australia & NZ|-42.538964|146.781461|Exact||||0.8|0.5|0.0|0.71
